sample_id,patient_id,tissue_type,fastqscreen_id,Human,rRNA,ERCC,Mouse,EColi,Virus,Yeast,Vector,Mitoch,Multiple Genomes,No hits,fastqc_id,GC_fastqc,dup_fastqc,avg_sequence_length,total_reads_fastq_M,qualimap_bamqc_id,avg_gc,median_insert_size,qualimap_RNAseq_qc_id,mean_coverage,percentage_aligned,mapped_reads,total_reads_bam,general_error_rate,5_3_bias,reads_aligned,genomic_origin_id,Exonic,Intronic,Intergenic
FUSCCTNBC113_TT,FUSCCTNBC113,tumor,FUSCCTNBC113_R2_screen,78651,26,654,11,0,0,0,0,0,20448,210,FUSCCTNBC113_R2,43,75.16730345,140.9722867,40.165916,FUSCCTNBC113_PT.percent_bamqc,48.21312283,186,FUSCCTNBC113_PT.percent,9.7499,97.81472013,11474771,11731129,0.01,1.1,4610031,FUSCCTNBC113_PT.percent,2954524,4954757,436752
FUSCCTNBC116_PT,FUSCCTNBC116,normal,FUSCCTNBC116_PT_R1_screen,76675,391,551,9,1,0,0,0,0,22024,349,FUSCCTNBC116_PT_R1,45,71.61698383,139.4108356,58.716721,FUSCCTNBC116.percent_bamqc,50.13210086,190,FUSCCTNBC116.percent,14.7458,97.74234966,11893337,12168049,0.01,1.01,4343293,FUSCCTNBC116.percent,3129626,3979363,379722
FUSCCTNBC116_PT,FUSCCTNBC116,normal,FUSCCTNBC116_PT_R2_screen,77007,433,550,11,3,0,0,0,0,21587,409,FUSCCTNBC116_PT_R2,45,73.95647547,139.4171757,58.716721,FUSCCTNBC116.percent_bamqc,50.13210086,190,FUSCCTNBC116.percent,14.7458,97.74234966,11893337,12168049,0.01,1.01,4343293,FUSCCTNBC116.percent,3129626,3979363,379722
FUSCCTNBC116_TT,FUSCCTNBC116,tumor,FUSCCTNBC116_R1_screen,71428,127,445,6,1,0,0,0,0,27584,409,FUSCCTNBC116_R1,46,66.85884326,139.9090413,45.424287,FUSCCTNBC116_PT.percent_bamqc,50.03006939,188,FUSCCTNBC116_PT.percent,16.279,98.12266964,14942702,15228593,0.01,1.09,5646503,FUSCCTNBC116_PT.percent,3564960,6034850,553958
FUSCCTNBC116_TT,FUSCCTNBC116,tumor,FUSCCTNBC116_R2_screen,71765,144,444,13,2,0,0,0,0,27142,490,FUSCCTNBC116_R2,46,68.94111119,139.9149331,45.424287,FUSCCTNBC116_PT.percent_bamqc,50.03006939,188,FUSCCTNBC116_PT.percent,16.279,98.12266964,14942702,15228593,0.01,1.09,5646503,FUSCCTNBC116_PT.percent,3564960,6034850,553958
FUSCCTNBC118_TT,FUSCCTNBC118,tumor,FUSCCTNBC118_R1_screen,64620,1438,453,22,8,0,0,0,0,29690,3769,FUSCCTNBC118_R1,52,52.63646647,132.6514623,28.176381,FUSCCTNBC118.percent_bamqc,62.48414033,208,FUSCCTNBC118.percent,21.1529,99.14584609,12699989,12809401,0,0.98,2738296,FUSCCTNBC118.percent,1550766,2164756,271267
FUSCCTNBC118_TT,FUSCCTNBC118,tumor,FUSCCTNBC118_R2_screen,63763,1360,455,27,5,0,0,0,0,29690,4700,FUSCCTNBC118_R2,52,55.01912305,132.6519811,28.176381,FUSCCTNBC118.percent_bamqc,62.48414033,208,FUSCCTNBC118.percent,21.1529,99.14584609,12699989,12809401,0,0.98,2738296,FUSCCTNBC118.percent,1550766,2164756,271267
FUSCCTNBC119_TT,FUSCCTNBC119,tumor,FUSCCTNBC119_R1_screen,61384,620,149,8,2,0,0,0,0,36827,1010,FUSCCTNBC119_R1,50,50.75140667,138.1633615,27.656301,FUSCCTNBC119.percent_bamqc,57.57772751,209,FUSCCTNBC119.percent,8.8602,99.40427237,11384490,11452717,0.01,1,2710414,FUSCCTNBC119.percent,1912882,1901050,191372
FUSCCTNBC119_TT,FUSCCTNBC119,tumor,FUSCCTNBC119_R2_screen,61409,574,149,18,0,0,0,0,0,36590,1260,FUSCCTNBC119_R2,50,54.06691076,138.1650205,27.656301,FUSCCTNBC119.percent_bamqc,57.57772751,209,FUSCCTNBC119.percent,8.8602,99.40427237,11384490,11452717,0.01,1,2710414,FUSCCTNBC119.percent,1912882,1901050,191372
FUSCCTNBC121_TT,FUSCCTNBC121,tumor,FUSCCTNBC121_R1_screen,71341,43,852,11,4,0,0,0,0,27559,190,FUSCCTNBC121_R1,46,47.25332477,145.5421401,53.217957,FUSCCTNBC121.percent_bamqc,50.23377298,223,FUSCCTNBC121.percent,11.0283,98.2633148,14417564,14672377,0.01,1.08,5078348,FUSCCTNBC121.percent,3697560,4579262,543762
FUSCCTNBC121_TT,FUSCCTNBC121,tumor,FUSCCTNBC121_R2_screen,71382,45,857,17,2,0,0,0,0,27487,210,FUSCCTNBC121_R2,46,52.18533577,145.5401128,53.217957,FUSCCTNBC121.percent_bamqc,50.23377298,223,FUSCCTNBC121.percent,11.0283,98.2633148,14417564,14672377,0.01,1.08,5078348,FUSCCTNBC121.percent,3697560,4579262,543762
FUSCCTNBC123_PT,FUSCCTNBC123,normal,FUSCCTNBC123_PT_R1_screen,69949,1625,1374,10,1,0,0,0,0,26271,770,FUSCCTNBC123_PT_R1,48,60.93340345,136.9964314,31.109591,FUSCCTNBC123.percent_bamqc,54.54851474,216,FUSCCTNBC123.percent,13.2657,98.33259436,13337780,13563946,0.01,1.05,3566174,FUSCCTNBC123.percent,2379162,2952897,311273
FUSCCTNBC123_PT,FUSCCTNBC123,normal,FUSCCTNBC123_PT_R2_screen,69811,1660,1387,24,3,0,0,0,0,26025,1090,FUSCCTNBC123_PT_R2,48,64.69701907,137.0009321,31.109591,FUSCCTNBC123.percent_bamqc,54.54851474,216,FUSCCTNBC123.percent,13.2657,98.33259436,13337780,13563946,0.01,1.05,3566174,FUSCCTNBC123.percent,2379162,2952897,311273
FUSCCTNBC123_TT,FUSCCTNBC123,tumor,FUSCCTNBC123_R1_screen,65493,265,933,16,2,0,0,0,0,32831,460,FUSCCTNBC123_R1,48,50.34742812,138.9783313,37.292471,FUSCCTNBC123_PT.percent_bamqc,57.22056384,208,FUSCCTNBC123_PT.percent,8.8607,98.58468075,12114195,12288111,0.01,1.02,2993780,FUSCCTNBC123_PT.percent,1770601,2783913,330864
FUSCCTNBC123_TT,FUSCCTNBC123,tumor,FUSCCTNBC123_R2_screen,65824,267,936,22,2,0,0,0,0,32319,630,FUSCCTNBC123_R2,49,55.0644361,138.9779763,37.292471,FUSCCTNBC123_PT.percent_bamqc,57.22056384,208,FUSCCTNBC123_PT.percent,8.8607,98.58468075,12114195,12288111,0.01,1.02,2993780,FUSCCTNBC123_PT.percent,1770601,2783913,330864
FUSCCTNBC125_PT,FUSCCTNBC125,normal,FUSCCTNBC125_PT_R1_screen,78218,288,508,3,2,0,0,0,0,20671,310,FUSCCTNBC125_PT_R1,45,76.11401936,139.203615,48.588082,FUSCCTNBC125_PT.percent_bamqc,48.70874604,188,FUSCCTNBC125_PT.percent,7.3814,97.85393999,12164920,12431712,0.02,1.02,4660107,FUSCCTNBC125_PT.percent,2729302,5259100,486706
FUSCCTNBC125_PT,FUSCCTNBC125,normal,FUSCCTNBC125_PT_R2_screen,78325,309,508,11,2,0,0,0,0,20445,400,FUSCCTNBC125_PT_R2,45,78.10644839,139.2100794,48.588082,FUSCCTNBC125_PT.percent_bamqc,48.70874604,188,FUSCCTNBC125_PT.percent,7.3814,97.85393999,12164920,12431712,0.02,1.02,4660107,FUSCCTNBC125_PT.percent,2729302,5259100,486706
FUSCCTNBC125_TT,FUSCCTNBC125,tumor,FUSCCTNBC125_rep_R1_screen,64179,175,71,21,1,0,0,0,0,35053,500,FUSCCTNBC125_rep_R1,49,55.46247231,147.2898154,37.785536,FUSCCTNBC125_rep.percent_bamqc,54.85371355,225,FUSCCTNBC125_rep.percent,10.1384,99.36990621,15568158,15666874,0.01,1.02,3681724,FUSCCTNBC125_rep.percent,2367610,3155856,272506
FUSCCTNBC125_TT,FUSCCTNBC125,tumor,FUSCCTNBC125_rep_R2_screen,63859,164,71,24,1,0,0,0,0,35421,460,FUSCCTNBC125_rep_R2,49,58.9921449,147.2810415,37.785536,FUSCCTNBC125_rep.percent_bamqc,54.85371355,225,FUSCCTNBC125_rep.percent,10.1384,99.36990621,15568158,15666874,0.01,1.02,3681724,FUSCCTNBC125_rep.percent,2367610,3155856,272506
FUSCCTNBC128_TT,FUSCCTNBC128,tumor,FUSCCTNBC128_R1_screen,72467,700,203,9,3,0,0,0,0,26149,469,FUSCCTNBC128_R1,47,50.63891823,139.2738128,36.629048,FUSCCTNBC128.percent_bamqc,53.4523359,208,FUSCCTNBC128.percent,5.8527,99.10698463,11750135,11856011,0.01,1.08,3586646,FUSCCTNBC128.percent,2252112,3547690,315619
FUSCCTNBC128_TT,FUSCCTNBC128,tumor,FUSCCTNBC128_R2_screen,72614,818,202,20,0,0,0,0,0,25477,869,FUSCCTNBC128_R2,47,57.33710318,139.2805821,36.629048,FUSCCTNBC128.percent_bamqc,53.4523359,208,FUSCCTNBC128.percent,5.8527,99.10698463,11750135,11856011,0.01,1.08,3586646,FUSCCTNBC128.percent,2252112,3547690,315619
FUSCCTNBC129_PT,FUSCCTNBC129,normal,FUSCCTNBC129_PT_R1_screen,78977,417,523,7,2,0,0,0,0,19844,230,FUSCCTNBC129_PT_R1,45,75.3451056,138.1203517,48.925447,FUSCCTNBC129.percent_bamqc,49.78184514,183,FUSCCTNBC129.percent,21.2563,97.63979989,11653770,11935471,0.01,1.08,4566001,FUSCCTNBC129.percent,3144420,4615669,342685
FUSCCTNBC129_PT,FUSCCTNBC129,normal,FUSCCTNBC129_PT_R2_screen,79206,447,521,7,2,0,0,0,0,19497,320,FUSCCTNBC129_PT_R2,45,77.3330215,138.1275115,48.925447,FUSCCTNBC129.percent_bamqc,49.78184514,183,FUSCCTNBC129.percent,21.2563,97.63979989,11653770,11935471,0.01,1.08,4566001,FUSCCTNBC129.percent,3144420,4615669,342685
FUSCCTNBC129_TT,FUSCCTNBC129,tumor,FUSCCTNBC129_R1_screen,74254,185,546,2,2,0,0,0,0,24662,349,FUSCCTNBC129_R1,46,69.94419988,137.9654986,47.786186,FUSCCTNBC129_PT.percent_bamqc,48.14122826,187,FUSCCTNBC129_PT.percent,10.197,97.87509072,11901981,12160378,0.01,1.08,4697557,FUSCCTNBC129_PT.percent,2828183,5343806,431947
FUSCCTNBC129_TT,FUSCCTNBC129,tumor,FUSCCTNBC129_R2_screen,74510,177,547,9,2,0,0,0,0,24315,440,FUSCCTNBC129_R2,46,71.94642212,137.9724973,47.786186,FUSCCTNBC129_PT.percent_bamqc,48.14122826,187,FUSCCTNBC129_PT.percent,10.197,97.87509072,11901981,12160378,0.01,1.08,4697557,FUSCCTNBC129_PT.percent,2828183,5343806,431947
FUSCCTNBC130_PT,FUSCCTNBC130,normal,FUSCCTNBC130_PT_R1_screen,76779,328,650,3,3,1,1,0,0,21996,239,FUSCCTNBC130_PT_R1,45,75.28780775,139.3046093,40.331145,FUSCCTNBC130.percent_bamqc,50.97649412,193,FUSCCTNBC130.percent,17.8983,97.52575553,13536412,13879833,0.01,1.06,4952601,FUSCCTNBC130.percent,3866275,4311429,336936
