Results File Name,MAPD,ndSNPQC,ndWavinessSD,CelPairCheckStatus,Low Diploid Flag,% Aberr. Cells,TuScan Ploidy,Q3 Raw Intensity_AT,Q3 Raw Intensity_GC,AGR_AT
FUSCCTNBC250_.OSCHP,0.29574,35.897291,0.099382,Pass,No,NA,NA,2739,2902,0.0171595
FUSCCTNBC251_.OSCHP,0.226219,39.10285,0.148407,Pass,No,65,3,2407,2725,0.0191109
FUSCCTNBC252_.OSCHP,0.245129,24.677146,0.154205,Pass,No,70,2,2192,2212,0.0209854
FUSCCTNBC255_.OSCHP,0.231984,39.540931,0.143887,Pass,No,NA,NA,2197,2023,0.0227583
FUSCCTNBC256.WBC_.OSCHP,0.282489,22.61202,0.272975,Pass,No,NA,NA,1881,1794,0.0217969
FUSCCTNBC256_.OSCHP,0.282572,41.232834,0.114443,Pass,No,70,3,2791,3355,0.0146901
FUSCCTNBC257_.OSCHP,0.253619,40.859654,0.101299,Pass,No,NA,NA,3273,3294,0.0128323
FUSCCTNBC258_.OSCHP,0.25895,37.613665,0.118523,Pass,No,70,2,3084,2858,0.0162127
FUSCCTNBC259_.OSCHP,0.26026,34.920832,0.094424,Pass,No,NA,NA,2971,3143,0.0164928
FUSCCTNBC260_.OSCHP,0.261291,37.41979,0.113486,Pass,No,NA,NA,3249,2971,0.0153894
FUSCCTNBC261.WBC_.OSCHP,0.293882,22.273378,0.316594,Pass,No,homogeneous,2,1590,1486,0.0257862
FUSCCTNBC261_.OSCHP,0.272959,30.866238,0.205285,Pass,No,NA,NA,3184,2557,0.0153894
FUSCCTNBC262.WBC_.OSCHP,0.270928,25.713001,0.246393,Pass,No,homogeneous,2,1609,1719,0.0279677
FUSCCTNBC262_.OSCHP,0.258573,38.506521,0.107581,Pass,No,homogeneous,2,3106,3118,0.0164198
FUSCCTNBC263.WBC_.OSCHP,0.270055,24.967883,0.275897,Pass,No,homogeneous,2,2036,2395,0.0240668
FUSCCTNBC263_.OSCHP,0.269636,36.874706,0.127032,Pass,No,homogeneous,2,2989,3415.75,0.016728
FUSCCTNBC264_.OSCHP,0.260284,39.227729,0.0779437,Pass,No,homogeneous,2,3236,3204,0.0154512
FUSCCTNBC265_.OSCHP,0.280656,36.2548,0.109861,Pass,No,NA,NA,3801,3376,0.011839
FUSCCTNBC266_.OSCHP,0.256275,40.516455,0.106157,Pass,No,40,2,3415,3113,0.0149341
FUSCCTNBC267_.OSCHP,0.26104,36.086254,0.129349,Pass,No,homogeneous,2,3777,2896,0.0129733
FUSCCTNBC268_.OSCHP,0.254085,39.026408,0.0917336,Pass,No,40,2,3272,3078,0.0152812
FUSCCTNBC271_.OSCHP,0.250614,39.37372,0.0945155,Pass,No,homogeneous,2,2794,3150,0.0161059
FUSCCTNBC272.WBC_.OSCHP,0.268561,26.87671,0.204994,Pass,No,45,2,1838,1806,0.0217628
FUSCCTNBC272_.OSCHP,0.23712,36.265604,0.0914214,Pass,No,NA,NA,3259,3022,0.0153421
FUSCCTNBC273_.OSCHP,0.235106,39.459476,0.102027,Pass,No,70,2,3208,3120,0.0158978
FUSCCTNBC274_.OSCHP,0.297975,48.493926,0.0810967,Pass,No,65,3,2859,2947,0.0164393
FUSCCTNBC275_.OSCHP,0.233598,38.934556,0.0945028,Pass,No,35,4,2467,2739,0.0178354
FUSCCTNBC276_.OSCHP,0.229264,44.223064,0.0774248,Pass,No,65,2,2363,2517,0.0186204
FUSCCTNBC277_.OSCHP,0.24491,29.507215,0.211357,Pass,No,NA,NA,2232,2310,0.0224014
FUSCCTNBC278_.OSCHP,0.228831,37.748854,0.0881259,Pass,No,homogeneous,2,2105,2487,0.0228029
FUSCCTNBC281_.OSCHP,0.25128,35.682313,0.123639,Pass,No,NA,NA,2154,2375,0.0213556
FUSCCTNBC282_.OSCHP,0.237657,39.311532,0.105437,Pass,No,NA,NA,2067,1939,0.0222545
FUSCCTNBC283_.OSCHP,0.23284,34.389016,0.11855,Pass,No,NA,NA,2038,2402,0.0230618
FUSCCTNBC284_.OSCHP,0.224316,38.894481,0.0903838,Pass,No,55,1,2448,2151,0.0208333
FUSCCTNBC285_.OSCHP,0.223209,40.960766,0.0956912,Pass,No,NA,NA,2284,2527,0.0214536
FUSCCTNBC287_.OSCHP,0.254654,29.19033,0.168702,Pass,No,NA,NA,2322,2159,0.0206718
FUSCCTNBC288_.OSCHP,0.209804,42.590897,0.0917272,Pass,No,NA,NA,2165,2054,0.0230947
FUSCCTNBC289_.OSCHP,0.225366,5.614375,0.38419,Pass,Yes,NA,NA,2383,2535,0.0180445
FUSCCTNBC290.WBC_.OSCHP,0.27854,24.367257,0.331456,Pass,No,homogeneous,2,1984,1942,0.0206653
FUSCCTNBC290_.OSCHP,0.215205,38.361549,0.113184,Pass,No,NA,NA,2435,2764,0.0180698
FUSCCTNBC291_.OSCHP,0.239857,38.834557,0.116993,Pass,No,NA,NA,2239,2575,0.0218848
FUSCCTNBC292_.OSCHP,0.219382,40.182833,0.0833789,Pass,No,homogeneous,2,2592,2586,0.0212191
FUSCCTNBC293_.OSCHP,0.228533,41.352815,0.0684542,Pass,No,homogeneous,2,2503,2767,0.0195765
FUSCCTNBC295_.OSCHP,0.250516,31.039607,0.139721,Pass,No,NA,NA,2204,2421,0.0217786
FUSCCTNBC296.WBC_.OSCHP,0.288073,23.556692,0.230855,Pass,No,homogeneous,2,1808,1481,0.0259956
FUSCCTNBC296_.OSCHP,0.262636,32.169388,0.142091,Pass,No,NA,NA,2660,2757,0.0165414
FUSCCTNBC297_.OSCHP,0.207232,38.709319,0.102562,Pass,No,NA,NA,2252,2166,0.0208703
FUSCCTNBC298_.OSCHP,0.237932,37.787857,0.0956632,Pass,No,homogeneous,2,2455,2696,0.0203666
FUSCCTNBC299_.OSCHP,0.205517,41.705457,0.101868,Pass,No,35,2,2381,2320,0.0218396
FUSCCTNBC300_.OSCHP,0.241099,37.63312,0.120408,Pass,No,NA,NA,2608,2540,0.0199387
FUSCCTNBC301_.OSCHP,0.234297,39.864766,0.076914,Pass,No,homogeneous,2,2501,2199,0.0203918
FUSCCTNBC302_.OSCHP,0.217468,11.746649,0.234079,Pass,Yes,NA,NA,1877,2100,0.0239744
FUSCCTNBC303_.OSCHP,0.231037,40.151404,0.104389,Pass,No,50,2,2367,2066,0.0223912
FUSCCTNBC304_.OSCHP,0.241496,33.819935,0.159637,Pass,No,NA,NA,2094,2075,0.0224451
FUSCCTNBC305.WBC_.OSCHP,0.299953,19.036155,0.306075,Pass,No,homogeneous,2,1408,1438,0.0298295
FUSCCTNBC305_.OSCHP,0.242351,36.164149,0.122119,Pass,No,NA,NA,2692,2590,0.0193165
FUSCCTNBC306.WBC_.OSCHP,0.299025,20.885931,0.329555,Pass,No,NA,NA,1568,1425,0.0280612
FUSCCTNBC306_.OSCHP,0.23481,35.348497,0.116152,Pass,No,NA,NA,2617,2898,0.016431
FUSCCTNBC307_.OSCHP,0.231639,36.526962,0.132967,Pass,No,60,2,2481,2440,0.0205562
